Akronim,Kepanjangan
LON,Lembaga Oseanologi Nasional
LP,"""""1 lembaga pemasyarakatan, 2 lembaga penelitian, 3 long play (piringan hitam)"
LP2B,lahan pertanian pangan berkelanjutan
LP2P,laporan pajak-pajak pribadi
LP3ES,"""""Lembaga Penelitian, Pendidikan, dan Penerangan Ekonomi dan Sosial"
LP3H,Lembaga Pencegahan dan Pemberantasan Perusakan Hutan
LP3I,Lembaga Pendidikan dan Pengembangan Profesi Indonesia
LPAM,Lembaga Pencerahan dan Advokasi Masyarakat
LPDB,Lembaga Pengelola Dana Bergulir
LPDP,Lembaga Pengelola Dana Pendidikan
LPG,liquefied petroleum gas
LPIK,Lembaga Pengembangan Informasi dan Komunikasi
LPIR,lomba penelitian ilmiah remaja
LPJK,Lembaga Pengembangan Jasa Konstruksi
LPKB,Lembaga Pembina Kesatuan Bangsa
LPKJ,Lembaga Pendidikan Kesenian Jakarta
LPN,Lembaga Produktivitas Nasional
LPP,"""""1 Lembaga Pengawas Program, 2 lembaga penelitian pendidikan"
LPPM,Lembaga Pendidikan dan Pembinaan Manajemen
LPPU,Lembaga Pendidikan Penerbangan Udara
LPS,Lembaga Penjamin Simpanan
LPSK,Lembaga Perlindungan Saksi dan Korban
LPSM,Lembaga Pembinaan Sosial Masyarakat
LPTK,Lembaga Pendidikan Tenaga Keguruan
LPTQ,Lembaga Pengembangan Tilawatil Quran
LPU,Lembaga Pemilihan Umum
LRKN,Lembaga Riset Kebudayaan Nasional
LS,"""""1 lintang selatan, 2 lectori salutem"
LSD,"""""1 lahan sawah dilindungi, 2 lembaga sosial desa, 3 lysergic acid diethyl-amide"
LSF,Lembaga Sensor Film
LSI,Lembaga Survei Indonesia
LSIH,lembaga sertifikasi industri hijau
LSM,Lembaga Swadaya Masyarakat
LSP,"""""1 Lembaga Studi Pengembangan, 2 Lembaga Studi Pembangunan, 3 lembaga sertifikasi profesi"
LSPPI,Lembaga Sinematik Pusat Perfilman Indonesia
LTD,lembaga tranfusi darah
LTPP,Lembaga Teknis Pelaksana Program
LUBER,"""""langsung, umum, bebas, dan rahasia"
LUK,laboratorium uji konstruksi
M.AG.,magister agama
M.HUM.,magister humaniora
M.KES.,magister kesehatan
M.KOM.,magister komunikasi
M.M.,magister manajemen
M.P.,magister pertanian
M.PD.,magister pendidikan
M.SI.,magister sains
M.SN.,magister seni
M.T.,magister teknik
M,"""""1 Masehi, 2 medium"
MA,"""""1 Mahkamah Agung, 2 mata anggaran"
MAB,man and biosphere program
MABAK,Maskar Besar Kepolisian
MABAL,Maskar Besar TNI Angkatan Laut
MABAU,Maskar Besar TNI Angkatan Udara
MABBIM,Majelis Bahasa Brunei Darussalam- Indonesia-Malaysia
MABES,markas besar
MABESAD,Maskar Besar TNI Angkatan Darat
MABIM,Majelis Agama Brunei Darussalam- Indonesia-Malaysia
MADN,Majelis Adat Dayak Nasional
MAHATMA,maju sehat bersama
MAHMILTI,Mahkamah Militer Tinggi
MAHMILUB,Mahkamah Militer Luar Biasa
MAHULU,Mahakam Hulu
MAI,Masyarakat Akuakultur Indonesia
MAKIN,Majelis Agama Khonghucu Indonesia
MAKO,Markas Komando
MAKODAM,Markas Komando Daerah Militer
MALUT,Maluku Utara
MAN,madrasah aliyah negeri
MANIKEBU,manifesto kebudayaan
MAPPI,Masyarakat Profesi Penilai Indonesia
MAPRAM,masa prabakti mahasiswa
MAPRAS,masa prabakti siswa
MARSMA,Marsekal Pertama
MASTEL,Masyarakat Telematika Indonesia
MATAKIN,Majelis Tinggi Agama Khonghucu Indonesia
MATARMAJA,Malang-Blitar-Madiun-Jakarta (kereta api)
MAYJEN,mayor jenderal
MCK,"""""mandi, cuci, kakus"
MDI,Mejelis Dakwah Islamiyah
MDP,Majelis Disiplin Profesi
MDTK,Majelis Disiplin Tenaga Kesehatan
MEA,Masyarakat Ekonomi ASEAN
MEE,Masyarakat Ekonomi Eropa
MENAG,Menteri Agama
MENAKER,Menteri Tenaga Kerja
MENAKERTRANS,Menteri Tenaga Kerja dan Transmigrasi
MENBUDPAR,Menteri Kebudayaan dan Pariwisata
MENDAGRI,Menteri Dalam Negeri
MENDIKBUD,Menteri Pendidikan dan Kebudayaan
MENDIKNAS,Menteri Pendidikan Nasional
MENEG HAM,Menteri Negara Hak Asasi Manusia
MENEG KLH,Menteri Negara Kependudukan dan Lingkungan Hidup
MENEG OTDA,Menteri Negara Otonomi Daerah
MENEGPORA,Menteri Negara Pemuda dan Olahraga
MENHAN,Menteri Pertahanan
MENHANKAM,Menteri Pertahanan dan Keamanan
MENHUBTEL,Menteri Perhubungan dan Telekomunikasi
MENKEH HAM,Menteri Kehakiman dan Hak Asasi Manusia
MENKEH,Menteri Kehakiman
MENKES,Menteri Kesehatan
MENKEU,Menteri Keuangan
MENKIMPRASWIL,"""""Menteri Permukiman, Prasarana, dan Wilayah Tertinggal"
MENKO EKUIN,"""""Menteri Koordinator Bidang Ekonomi, Keuangan, dan Industri"
MENKO KESRA,"""""Menteri Koordinator Bidang Ekonomi, Kesejahteraan Rakyat"
MENKO POLKAM,Menteri Koordinator Bidang Politik dan Keamanan
MENKO POLSOSKAM,"""""Menteri Koordinator Bidang Politik, Sosial, dan Keamanan"
MENKO,Menteri Koordinator
MENKOMINFO,Menteri Komunikasi dan Informatika
MENKOP,Menteri Koperasi
MENKUMDANG,Menteri Hukum dan Perundang-undangan
MENLU,Menteri Luar Negeri
MENMUD,Menteri Muda
MENPAN,Menteri Negara Pendayagunaan Aparatur Negara
MENPARPOSTEL,"""""Menteri Pariwisata, Pos, dan Telekomunikasi"
MENPEN,Menteri Penerangan
MENPERA,Menteri Negara Perumahan Rakyat
MENPERDAG,Menteri Perdagangan
MENPERINDAG,Menteri Perindustrian dan Perdagangan
MENPORA,Menteri Negara Pemuda dan Olahraga
MENRISTEK,Menteri Negara Riset dan Teknologi
MENSESNEG,Menteri Sekretaris Negara
MENSOS,Menteri Sosial
MENTAHUT,Menteri Pertanian dan Kehutanan
MENTAN,Menteri Pertanian
MENTRANS,Menteri Transmigrasi
MENWA,resimen mahasiswa
METRO JAYA,Metropolitan Jaya
MHA,masyarakat hukum adat
MIGAS,minyak dan gas bumi
MIKI,Masyarakat Komik Indonesia
MIN,madrasah ibtidaiah negeri
MIRAS,minuman keras
MK,Mahkamah Konstitusi
MKDK,mata kuliah dasar kejuruan
MKDU,mata kuliah dasar umum
MKGR,Musyawarah Kekeluargaan Gotong Royong
MKK,mata kuliah kejuruan
MKP,mata kuliah pelengkap
MLI,Masyarakat Linguistik Indonesia
MMI,Majelis Mujahidin Indonesia
MMP,metode membaca permulaan
MOBEC,motor becak
MOBNAS,mobil nasional
MOGE,motor gede
MOH,Mohammad
MOKO,mobil toko
MONAS,monumen nasional
MPB,mesin pesawat bantu
MPI,Masyarakat Perhutanan Indonesia
MPO,menghitung pajak orang (lain)
MPP,masa persiapan pensiun
MPR,Majelis Permusyawaratan Rakyat
MPS,menghitung pajak sendiri
MPTN,Majelis Pertimbangan Tenaga Nuklir
MQ,Manajemen Qolbu
MTA,Majelis Tafsir Alquran
MTI,"""""1 Magyar Tavirati Iroda, 2 Masyarakat Transparansi Indonesia"
MTN,madrasah tsanawiyah negeri
MTQ,musabaqah tilawatil qur'an
MTS,Madrasah Tsanawiyah
MUBES,musyawarah besar
MUI,Majelis Ulama Indonesia
MUKERNAS,musyawarah kerja nasional
MUNAS,musyawarah nasional
MUNASLUB,musyawarah nasional luar biasa
MURI,Museum Rekor Indonesia
MUSDA,musyawarah daerah
MUSDES,musyawarah desa
MUSKER,musyawarah kerja
MUSPIDA,musyawarah pimpinan daerah
MUSPIKA,musyawarah pimpinan kecamatan
MUSPIN,musyawarah pimpinan
MUSRENBANG,musyawarah perencanaan pembangunan
N.B.,"NB,Notabene"
NAD,Nanggroe Aceh Darussalam
NARKOBA,"""""NARKotika dan Obat-obatan berBAhaya, narkotika, psikotropika, dan obat terlarang"
NEKOLIN,neokolonialisme-kolonialisme-imperialisme
NEM,nilai ebtanas murni
NIB,nomor induk berusaha
NID,nomor induk dosen
NIDN,nomor induk nasional
NIG,nomor induk guru
NIK,Nomor Induk Karyawan
NIM,nomor induk mahasiswa
NIP,Nomor Induk Pegawai
NIRD,nomor induk registrasi dosen
NIRM,nomor induk registrasi mahasiswa
NIS,Nomor Induk Siswa
NISN,Nomor Induk Siswa Nasional
NISP,Nilai Inti Sari Pinjaman
NJOP,nilai jual objek pajak
NKK,"""""1 Nippon Kokan Kaiska, 2 normalisasi kehidupan kampus"
NKKBS,norma keluarga kecil bahagia sejahtera
NKRI,Negara Kesatuan Republik Indonesia
NM,nanometer
NN.,Nona
NO.,nomor
NOPPEN,nomor pokok penduduk
NPK,nitrogen phosphat kalium
NPSN,nomor pokok sekolah nasional
NPWP,nomor pokok wajib pajak
NRP,nomor registrasi pokok
NSP,Nada Sambung Pribadi
NSPK,"""""norma, standar, prosedur, dan kriteria"
NTB,Nusa Tenggara Barat
NTCR,"""""nikah, talak, cerai, dan rujuk"
NTT,Nusa Tenggara Timur
NU,Nahdatul Ulama
NY.,nyonya
OR,Olahraga
ODHA,orang dengan HIV/AIDS
ODMIL,oditur militer
OIKN,Otorita Ibu Kota Nusantara
OJK,Otoritas Jasa Keuangan
OK,okay
OKI,"""""1 Ogan Komering Ilir, 2 Organisasi Konferensi Islam"
OKP,"""""1 Organisasi Kelompok Partisan, 2 Organisasi Kemasyarakatan Pemuda"
OKU,Ogan Komering Ulu
ONH,ongkos naik haji
OP CIT.,opere citato
OPD,organisasi perangkat daerah
OPM,Organisasi Papua Merdeka
OPP,Organisasi Peserta Pemilu
OPSI,Organisasi Pekerja Seluruh Indonesia
OPSTIB,operasi tertib
OPSUS,operasi khusus
OPTUH,operasi patuh
ORARI,Organisasi Radio Amatir Republik Indonesia
ORBA,Orde Baru
ORG.,Orang
ORGANDA,Organisasi Angkutan Darat
ORGIL,Orang Gila
ORI,Orang Republik Indonesia
ORKES,"""""1 olahraga dan kesehatan, 2 olahraga dan kesenian"
ORLA,Orde Lama
ORMAS,"""""1 organisasi massa, 2 organisasi masyarakat"
ORPOL,organisasi politik
ORTU,Orang Tua
OSIS,organisasi siswa intra sekolah
OSPEK,orientasi studi dan pengenalan kampus
OSZA,Orang-Orang Suci Zaman Akhir
OTDA,otonomi daerah
OTK,orang tidak dikenal
OTSUS,otonomi khusus
OWL,operasi warna lindung
P2KP,Program Penanggulangan Kemiskinan di Perkotaan
P3AD,Pusat Pendidikan Perwira Angkatan Darat
P3DT,Proyek Peningkatan Pembangunan Desa Tertinggal
P3E,pusat pengendalian pembangunan ekoregion
P3GB,Pusat Pengembangan Pendidikan Guru Bahasa
P4,Pedoman Penghayatan dan Pengamalan Pancasila
PABAN,perwira pembantu (utama)
PABBSI,Persatuan Angkat Besi dan Berat Seluruh Indonesia
PACAD,perwira cadangan
PADI,Partai Aliansi Demokrat Indonesia
PADNAS,kewaspadaan nasional
PAHAM,Pusat Advokasi dan Hak Asasi Manusia
PAI,Persatuan Anggrek Indonesia
PAIR,Pusat Aplikasi Isotop dan Radiasi
PAKERSA,Panitia Kerja Sama Kebahasaan
PAK,Panitia Antarkementerian
PAKKI,Perkumpulan Ahli Keselamatan Konstruksi Indonesia
PAKSI,Persatuan Akupunkturis Seluruh Indonesia
PAKUWAJA,"""""Paguyuban Kulawarga Jawa, organisasi suku Jawa-Kalimantan"
PAL,Phase Alternation Line
PAM,perusahaan air minum
PAMA,perwira pertama
PAMAD,Polisi Militer Angkatan Darat
PAMEN,perwira menengah
PAN,Partai Amanat Nasional
PANDI,Pengelola Nama Domain Internet Indonesia
PANGAB,Panglima Angkatan Bersenjata
PANGDAM,panglima daerah militer
PANGKOPKAMTIB,Panglima Komando Pemulihan Keamanan dan Ketertiban
PANGKOPKAMTIBDA,Panglima Komando Pemulihan Keamanan dan Ketertiban Daerah
PANGKOSTRANAS,Panglima Komando Strategi Nasional
PANGKOWILHAN,panglima komando wilayah pertahanan
PANGLAKSUS,Panglima Pelaksanaan Khusus
PANGTI,Panglima Tertinggi (TNI)
PANJA,panitia kerja
PANJATAP,panitia kerja tetap
PANN,Pengembangan Armada Niaga Nasional
PANSELA,Pantai Selatan
PANSUS,panitia khusus pantap panitia tetap
PANTARLIH,Panitia Pendaftaran Pemilih
PANTURA,Pantai Utara
PANWASLU,Panitia Pengawas Pemilihan Umum
PAPMI,Perhimpunan Ahli Perancang Mode Indonesia
PAPSI,Perhimpunan Ahli Perpustakaan Seluruh Indonesia
PARA,pasukan parasut
PARAKO,para komando
PARFI,Persatuan Artis Film Indonesia
PARPOL,partai politik
PARTAI GOLKAR,Partai Golongan Karya
PASGAT,pasukan gerak cepat
PASI,Persatuan Atletik Seluruh Indonesia
PASKAL,Pasir Kaliki
PASKIBRAKA,Pasukan Pengibar Bendera Pusaka
PASMI,Perhimpunan Asembler dan Manufakturer Sepeda Motor dan Skuter Indonesia
PASMING,Pasar Minggu
PASOPATI,Paduan Solusi Pelayanan Teknologi Informasi
PASPAL,ilmu pasti dan pengetahuan alam
PASPAMPRES,Pasukan Pengamanan Presiden
PASUTRI,pasangan suami istri
PAT,"""""1 pokok acuan tugas, 2 Port Address Translation"
PATAL,pabrik pemintalan
PATAS,cepat dan terbatas
PATI,Perhimpunan Ahli Teknik Indonesia
PAUD,Pendidikan Anak Usia Dini
PAWAKA,Paguyuban Warga Asal Kalimantan
PAY,Partai Abul Yatama
PBB,"""""1 Perserikatan Bangsa-Bangsa, 2 peraturan baris-berbaris, 3 pajak bumi dan bangunan, 4 Partai Bulan Bintan"
PBI,Persatuan Boling Indonesia
PBKSI,Persatuan Bola Keranjang Seluruh Indonesia
PBM,proses belajar mengajar
PBN,"""""1 Partai Buruh Nasional, 2 Partai Bela Negara"
PBSI,Persatuan Bulu Tangkis Seluruh Indonesia
PBTII,Partai Bhinneka Tunggal Ika Indonesia
PBVSI,Persatuan Bola Voli Seluruh Indonesia
PCD,Partai Cinta Damai
PD,"""""1 Perang Dunia, 2 Pembantu Dekan"
PDAM,Perusahaan Daerah Air Minum
PDB,produk domestik bruto
PDGI,Persatuan Dokter Gigi Indonesia
PDGMI,Perhimpunan Dokter Gizi Medik Indonesia
PDH,pakaian dinas harian
PDI,Partai Demokrasi Indonesia
PDII,Pusat Dokumentasi Ilmiah Indonesia
PDIP,"""""1 Partai Demokrasi Indonesia Perjuangan, 2 Partai Demokrasi Indonesia Pembaharuan"
PDKB,Partai Demokrasi Kasih Bangsa
PDL,pakaian dinas lapangan
PDR,Partai Daulat Rakyat
PDRI,Pemerintahan Darurat Republik Indonesia
PDU,pakaian dinas upacara
PDUB,pakaian dinas upacara besar
PELATDA,pemusatan latihan daerah
PELATNAS,pemusatan latihan nasional
PELDA,pembantu letnan dua
PELITA,pembangunan lima tahun
PELMAS BNKP,Pelatihan Masyarakat Banu Niho Keriso Protestan
PELNI,Pelayanan Nasional Indonesia
PELTI,Persatuan Lawn Tenis Indonesia
PELTU,pembantu letnan satu
PEMDA,pemerintah daerah
PEMILU,pemilihan umum
PEMKOT,pemerintah kota
PEMPROV,pemerintah provinsi
PEMRED,pemimpin redaksi
PEMUI,Perhimpunan Ekspedisi Muatan Udara Indonesia
PENJAS,pendidikan jasmani
PENJASKES,Pendidikan Jasmani dan Kesehatan
PENMAS,"""""1 pendidikan masyarakat, 2 penerangan masyarakat"
PENPRES,Penetapan Presiden
PEPABRI,Persatuan Purnawirawan Angkatan Bersenjata Republik Indonesia
PERADIN,Persatuan Advokat Indonesia
PERBAKIN,Persatuan Penembak Indonesia
PERBANAS,Perhimpunan Bank Swasta Nasional
PERBASASI,Persatuan Baseball dan softball Seluruh Indonesia
PERBASI,Persatuan Bola Basket Seluruh Indonesia
PERBIKI,Persatuan Bioskop Keliling Indonesia
PERCASI,Persatuan Catur Seluruh Indonesia
PERDA,peraturan daerah
PERDOKSI,Perhimpunan Dokter Spesialis dan Kelamin
PEREK,perempuan eksperimen (wanita tuna susila)
PERFINI,Persatuan Film Nasional Indonesia
PERHUTANI,Perusahaan Hutan Negara Indonesia
PERJAN,perusahaan jawatan
PERKEMI,Persatuan Kempo Indonesia
PERMIAS,Persekutuan Mahasiswa Indonesia di Amerika Serikat
PERPAMSI,Persatuan Perusahaan Air Minum di Indonesia
PERPANI,Persatuan Panahan Indonesia
PERPRES,peraturan presiden
PERPU,Peraturan Perundang-undangan
PERSAHI,Persatuan Sarjana Hukum Indonesia
PERSANI,Persatuan Senam Indonesia
PERSEBAYA,Persatuan Sepak Bola Surabaya
PERSEMA,Persatuan Sepak Bola Malang
PERSEMAN,Persatuan Sepak Bola Manokwari
PERSIB,Persatuan Sepak Bola Indonesia Bandung
PERSIBA,Persatuan Sepak Bola Indonesia Balikpapan
PERSIJA,Persatuan Sepak Bola Indonesia Jakarta
PERSIKABO,Persatuan Sepak Bola Kabupaten Bogor
PERSIKOTA,Persatuan Sepak Bola Kota Tanggerang
PERSIPURA,Persatuan Sepak Bola Indonesia Jayapura
PERSIT,Persatuan Istri Tentara
PERSITA,Persatuan Sepak Bola Indonesia Tangerang
PERSIWA,Persatuan Sepak Bola Indonesia Wamena
PERSMA,Persatuan Sepak Bola Manado
PERTAHKINDO,Perkumpulan Tenaga Ahli Konsultan Indonesia
PERTAMINA,Persatuan Perusahaan Pertambangan Minyak dan Gas Bumi Nasional
PERTANI,Pertanian Negara Indonesia
PERTAPIN,Perkumpulan Tenaga Ahli Profesional Indonesia
PERTASIKENCANA,"""""Pertanian, koperasi, dan keluarga berencana"
PERTINA,Persatuan Tinju Amatir Indonesia
PERUM,perusahaan umum
PERUMKA,Perusahaan Umum Kereta Api
PERUMNAS,perumahan nasional
PERUMPEL,Perusahaan Umum Pelabuhan
PERUMTEL,Perusahaan Umum Telekomunikasi
PERURI,Percetakan Uang Republik Indonesia
PERWARI,Persatuan Wanita Republik Indonesia
PETA,Pembela Tanah Air
PETAKINDO,Perkumpulan Tenaga Kerja Ahli dan Terampil Indonesia
PFN,Perusahaan Film Nasional
PG,pabrik gula
PGA,Pendidikan Guru Agama
PGAA,pendidikan guru agama atas
PGBK,pendidikan guru berdasarkan kompetensi
PGE,Pertamina Geothermal Energy
PGI,"""""1 Persekutan Gereja-Gereja Indonesia, 2 Persatuan Golf Indonesia, 3 Pusat Grafika Indonesia"
PGKP,pendidikan guru kejuruan pertanian
PGN,Perusahaan Gas Negara
PGPS,peraturan gaji pokok pegawai negeri sipil
PGRI,Persatuan Guru Republik Indonesia
PGSD,pendidikan guru sekolah dasar
PGSI,Persatuan Gulat Seluruh Indonesia
PGSLA,pendidikan guru sekolah lanjutan atas
PGSLP,pendidikan guru lanjutan pertama
PGSMTA,pendidikan guru sekolah menengah tingkat atas
PGSMTP,pendidikan guru sekolah menengah tingkat pertama
PHI,"""""1 Persaudaraan Haji Indonesia, 2 Panitia Haji Indonesia"
PHK,pemutusan hubungan kerja
PHPA,Perlindungan Hutan dan Pelestarian Alam
PHRI,Perhimpunan Hotel dan Restoran Indonesia
PHSI,Persatuan Hoki Seluruh Indonesia
PIAPS,peta indikatif areal perhutanan sosial
PIB,Partai Indonesia Baru
PID,Partai Islam Demokrat
PII,Pelajar Islam Indonesia
PIK,"""""1 Pantai Indah Kapuk, 2 Perkampungan Industri Kecil"
PILKADA,pemilihan kepala daerah
PILKADES,pemilihan kepala desa
PIMPRO,pemimpin proyek
PIN,"""""1 Pusat Informasi Nasional, 2 personal identification number, 3 pekan imunisasi nasional"
PINDAD,Perindustrian Angkatan Darat
PIPKI,Partai Ikatan Pendukung Kemerdekaan Indonesia
PIPLI,Pusat Informasi dan Pengelolaan Lingkungan Hidup Indonesia
PIPWS,Proyek Industri Pengembangan Wilayah Sungai
PIR,"""""1 Perkebunan Inti Rakyat, 2 proyek industri ringan"
PJK,penyakit jantung koroner
PJKA,Perusahaan Jawatan Kereta Api
PJR,patroli jalan raya
PJS.,Pejabat sementara
PJSI,Persatuan Judo Seluruh Indonesia
PKB,"""""1 Partai Kebangkitan Bangsa, 2 perjanjian kerja bersama"
PKBI,Perkumpulan Keluarga Berencana Indonesia
PKCHI,Perserikatan Khong Chiao Hwee Indonesia
PKD,Partai Katolik Demokrat
PKG,Pusat Kerja Guru
PKI,Partai Komunis Indonesia
PKK,"""""1 pembinaan kesejahteraan keluarga, 2 Program Kesejahteraan Keluarga, Pendidikan Kesejahteraan Keluarga"
PKL,"""""1 penyuluh kesehatan lapangan, 2 pendidikan kesehatan laut, 3 penyelidik keamanan lapangan"
PKLH,pendidikan kependudukan lingkungan hidup
PKM,Partai Kebangsaan Merdeka
PKMI,"""""Partai Kebangkitan Muslim Indonesia, Pemberdayaan Keuangan Mikro Indonesia, Persatuan Kaum Masehi Indonesia"
PKNI,Partai Kristen Nasional Indonesia
PKP,1 Partai Keadilan dan Persatuan 2 Perumahan dan Kawasan Permukiman 3 pengusaha kena pajak
PKPA,Pusat Kajian dan Perlindungan Anak
PKPB,Partai Karya Peduli Bangsa
PKPN,Pusat Koperasi Pegawai Negeri
PKS,Partai Keadilan Sejahtera
PKT,pengembangan kawasan terpadu
PKU,"""""Partai Kebangkitan Umat, pemeliharaan kesejahteraan umat"
PKW,panti keterampilan wanita
PLH,Pelestarian Lingkungan Hidup
PLN,Perusahaan Listrik Negara
PLTA,Pembangkit Listrik Tenaga Air
PLTD,Pembangkit Listrik Tenaga Diesel
PLTG,pusat listrik tenaga gas
PLTGU,proyek listrik tenaga gas dan uap
PLTN,Pembangkit Listrik Tenaga Nuklir
PLTS,"""""1 pusat listrik tenaga surya, 2 pembangkit listrik tenaga sampah"
PLTU,Pembangkit Listrik Tenaga Uap
PM,"""""1 polisi militer, 2 Perdana Menteri"
PMA,"""""1 Penanaman Modal Asing (Ekonomi), 2 Peraturan Menteri Agama (Hukum)"
PMB,Partai Masyumi Baru
PMDK,penelusuran minat dan kemampuan
PMDN,penanaman modal dalam negeri
PMG,Pusat Meteorologi dan Geofisika
PMI,Palang Merah Indonesia
PMII,Pergerakan Mahasiswa Islam Indonesia
PMKGR,Partai Musyawarah Kekeluargaan Gotong Royong
PMKRI,Perhimpunan Mahasiswa Katholik Republik Indonesia
PMPTK,Peningkatan Mutu Pendidikan dan Tenaga Kependidikan
PMRB,Partai Musyawarah Rakyat Banyak
PN,"""""1 Pengadilan Negeri, 2 perusahaan negara"
PNBI,Partai Nasional Bangsa Indonesia
PNBP,penerimaan negara bukan pajak
PND,Partai Nasional Demokrat
PNG,Papua Nugini
PNI,Partai Nasioanal Indonesia
PNPM,program nasional pemberdayaan masyarakat
PNS,Pegawai Negeri Sipil
PNU,Partai Nahdlatul Ummat
PO,"""""1 petunjuk operasional, 2 penumpang orang"
POBSI,Persatuan Olahraga Biliar Seluruh Indonesia
PODSI,Persatuan Olahraga Dayung Seluruh Indonesia
POKJA,kelompok kerja
POLAIRUD,Polisi Air dan Udara
POLANTAS,polisi lalu lintas
POLDA,kepolisian daerah
POLEKSOSBUDHANKAM,"""""politik, ekonomi, sosial dan budaya, pertahanan, dan keamanan"
POLHANKAM,"""""politik, pertahanan, dan keamanan"
POLHUKAM,"""""Politik, Hukum dan Keamanan"
POLKAM,politik dan keamanan
POLRES,polisi resort
POLRI,kepolisian Republik Indonesia
POLSEK,kepolisian sektor
POLSTRA,politik strategi
POLSTRANAS,politik strategi nasional
POLSUS,polisi khusus
POLSUSKA,polisi khusus kereta api
POLWAN,polisi wanita
POLWIL,kepolisi wilayah
POMABRI,Polisi Militer Angkatan Bersenjata Republik Indonesia
POMAL,Polisi Militer Angkatan Laut
POMAU,Polisi Militer Angkatan Udara
POMG,Persatuan Orang Tua Murid dan Guru
PON,Pekan Olahraga Nasional
PONSEL,Telepon Seluler
POPNAS,Pekan Olahraga Nasional
POPSI,Pekan Olahraga Pelajar Seluruh Indonesia
POR,Pekan Olahraga
PORDA,Pekan Olahraga Daerah
PORDASI,Persatuan Olahraga Berkuda Seluruh Indonesia
PORKAS,Pekan Olahraga dan Ketangkasan
PORLASI,Persatuan Olahraga Layar Seluruh Indonesia
PORPI,Persatuan Olahraga Pernapasan Indonesia
POSKAMLING,Pos Keamanan Lingkungan
POSKO,Pos Komando
POSMA,pekan orientasi studi mahasiswa
POSTEL,Pos dan Telekomunikasi
POSYANDU,Pos Pelayanan Terpadu
PP,"""""1. pendidikan dan pengajaran, 2 peraturan pemerintah, 3 pamong praja, 4 Partai Persatuan"
PPA,perlindungan dan pengawetan alam
PPAKI,Perkumpulan Pendirian Ahli Konstruksi Indonesia
PPATK,Pusat Pelaporan dan Analisis Transaksi Keuangan
PPB,psikologi pendidikan dan bimbingan
PPD,"""""1 panitia pemilihan daerah, 2 perusahaan pengangkutan umum Jakarta, 3 prapiala dunia"
PPDSKM,program penanggulangan dampak sosial krisis moneter
PPEI,Pendidikan dan Pelatihan Ekspor Indonesia
PPFI,"""""1 Persatuan Perusahaan Film Indonesia, 2 Persatuan Produsen Film Negara"
PPH,pajak penghasilan
PPHM,Partai Politik Islam Indonesia Masyumi
PPI,Partai Pekerja Indonesia
PPK,program pengembangan kecamatan
PPKI,Panitia Persiapan Kemerdekaan Indonesia
PPKT,pulau-pulau kecil terluar
PPL,"""""1 petugas penyuluh lapangan, 2 penyuluh pertanian lapangan, 3 Proyek Pengembangan Lingkungan"
PPLH,Pengawasan Pembangunan dan Lingkungan Hidup
PPMJ,Perhimpunan Manajemen Mutu Indonesia
PPN.,pajak pendapatan
PPN,Pajak Pertambahan Nilai
PPNI,Persatuan Perawatan Nasional Indonesia
PPO,pajak pendapatan perseorangan
PPOT,Pusat Penelitian Obat Tradisional
PPP(P3),Partai Persatuan Pembangunan
PPPA,Pemberdayaan Perempuan dan Perlindungan Anak
PPPK(P3K),pertolongan pertama pada kecelakaan
PPPP(P4),"""""1 Pedoman Penghayatan dan Pengamalan Pancasila, 2 panitia penyelesaian perselisihan perburuhan"
PPR,Partai Pilihan Rakyat
PPRM,pasukan penindak rusuh massa
PPSG,Persatuan Pelajar Sekolah Guru
PPSI,prosedur pengembangan sistem instruksional
PPSK,Pusat Pengkajian Strategi dan Kebijakan
PPSP,Proyek Perintis Sekolah Pembangunan
PPTK,Pusat Pelaporan dan Analisis Transaksi Keuangan
PPTM,Pusat Pengembangan Teknologi Mineral
PR,"""""1 pekerjaan rumah, 2 pembantu rektor, 3 public relation, 4 Partai Republik"
PRADA,prajurit dua
PRAKA,prajurit kepala
PRATU,prajurit satu
PRD,Partai Rakyat Demokrat
PRESDIR,presiden direktur
PRG,produk rekayasa genetik
PRI,Partai Rakyat Indonesia
PRJ,Pekan Raya Jakarta
PRO,profesional
PROF.,profesor
PROKASIH,program kali bersih
PROKLIM,Program Kampung Iklim
PROLITA,program lima tahun
PRONA,Program Nasional Agraria
PRONAS,produksi nasional
PROPAM,profesi dan pengamanan
PROPENAS,program pembangunan nasional
PRRI/PERMESTA,Pemerintahan Revolusioner Republik Indonesia/Perjuangan Rakyat Semesta
PRSI,Persatuan Renang Seluruh Indonesia
PRSSNI,Persatuan Radio Siaran Swasta Nasioanal Indonesia
PSB,pusat sumber belajar
PSDH,provisi sumber daya hutan
PSH,pakaian sipil harian
PSI.,Psikologi
PSII 1905,Partai Syarikat Islam Indonesia - 1905
PSII,Partai Syarikat Islam Indonesia
PSIM,Persatuan Sepak Bola Indonesia Mataram
PSIS,Persatuan Sepak Bola Indonesia Semarang
PSM,Persatuan Sepak Bola Makassar
PSMS,Persatuan Sepak Bola Medan dan Sekitarnya
PSN,proyek strategis nasional
PSP,"""""1 Partai Solidaritas Pekerja, 2 Persatuan Sepak Bola Padang"
PSPSI,Partai Solidaritas Pekerja Seluruh Indonesia
PSSB,program seleksi siswa berprestasi
PSSI,Persatuan Sepak Bola Seluruh Indonesia
